time,capital,return_this_step
2025-09-23 10:00:20.163097+00:00,9972.97442086663,-27.0255791333692
2025-09-23 11:00:43.154892+00:00,9758.7947668092,-214.17965405743138
2025-09-23 12:01:06.509976+00:00,9665.757432113995,-93.03733469520594
2025-09-23 13:01:29.588835+00:00,9675.830092552294,10.072660438299575
2025-09-23 14:01:52.989822+00:00,9693.227136832451,17.397044280155594
2025-09-23 15:02:16.162829+00:00,9733.358963301931,40.131826469479755
2025-09-23 16:02:39.408664+00:00,9905.604872508484,172.24590920655226
2025-09-23 17:03:01.954559+00:00,9971.504206824142,65.8993343156586
2025-09-23 18:03:24.302506+00:00,9968.077351537302,-3.4268552868402313
2025-09-23 19:03:46.491408+00:00,9955.585478336609,-12.491873200693965
2025-09-23 20:04:08.543883+00:00,9734.512596440829,-221.07288189577974
2025-09-23 21:04:30.346780+00:00,9698.185768596644,-36.326827844185516
2025-09-23 22:04:52.221195+00:00,9730.468302127361,32.28253353071695
2025-09-23 23:05:14.253378+00:00,9724.866148944671,-5.602153182690526
2025-09-24 00:05:36.296214+00:00,9729.603940794195,4.737791849523836
2025-09-24 01:05:58.767496+00:00,9630.779948041518,-98.823992752678
2025-09-24 02:06:21.173045+00:00,9573.432084448497,-57.34786359302061
2025-09-24 03:06:44.293854+00:00,9445.422514191863,-128.00957025663402
2025-09-24 04:07:09.245829+00:00,9418.929410570341,-26.49310362152283
2025-09-24 05:07:32.149141+00:00,9386.27154773611,-32.65786283423024
2025-09-24 06:07:54.984407+00:00,9400.890840604408,14.619292868296855
2025-09-24 07:08:20.971421+00:00,9409.170672959952,8.279832355542943
2025-09-24 08:08:43.825382+00:00,9369.678433799578,-39.49223916037413
2025-09-24 09:09:06.207916+00:00,9356.720417400955,-12.958016398622203
2025-09-24 10:09:29.751633+00:00,9395.91221863685,39.191801235894516
2025-09-24 11:09:52.318243+00:00,9392.310838431074,-3.6013802057744506
2025-09-24 12:10:17.231639+00:00,9288.64141104678,-103.66942738429555
2025-09-24 13:10:40.481534+00:00,9188.24897030459,-100.39244074218945
2025-09-24 14:11:03.128688+00:00,9162.66471736713,-25.584252937459933
2025-09-24 15:11:25.545573+00:00,9225.615340662713,62.95062329558249
2025-09-24 16:11:48.096411+00:00,9203.124928477366,-22.49041218534687
2025-09-24 17:12:13.053916+00:00,9249.398635580206,46.273707102839786
2025-09-24 18:12:35.638953+00:00,9296.978783530756,47.58014795054967
2025-09-24 19:12:57.981213+00:00,9276.950984764773,-20.027798765983512
2025-09-24 20:13:20.216087+00:00,9265.991460211988,-10.959524552785888
2025-09-24 21:13:42.365989+00:00,9274.286407537564,8.294947325575695
2025-09-24 22:14:04.478129+00:00,9274.286407537564,
2025-09-24 23:14:26.685456+00:00,9274.286407537564,
