snapshot_time,alt_rank,price,galaxy_score,social_volume_24h,interactions_24h,volume_24h,market_cap,altrank_improve_1h,alt_rank_prev,price_next1,price_next2,price_next4,fut_ret_1h,fut_ret_2h,fut_ret_4h,symbol
2025-09-24 09:09:06.207916+00:00,467.0,4184.546807536082,54.6,70999.0,24628591.0,33203302884.15,505090493703.27,0.0,150.0,4176.8604972009225,4178.867061652733,4173.001558756191,-0.0018368322039837722,-0.0013573144583112515,-0.00275902010681275,ETH
2025-09-24 10:09:29.751633+00:00,406.0,4176.8604972009225,54.6,70999.0,24628591.0,32468047247.388622,504162727218.51,61.0,467.0,4178.867061652733,4193.4971207358085,4138.3340620926265,0.000480400160157497,0.003983045051668552,-0.009223778274164075,ETH
2025-09-24 11:09:52.318243+00:00,870.0,4178.867061652733,50.9,68415.0,24016519.0,32385829456.04,504404927073.41,0.0,406.0,4193.4971207358085,4173.001558756191,4157.243147908198,0.0035009630283115495,-0.0014036107897202274,-0.005174587615616383,ETH
2025-09-24 12:10:17.231639+00:00,207.0,4193.4971207358085,50.9,68415.0,24016519.0,32183127172.27,506170606852.72,663.0,870.0,4173.001558756191,4138.3340620926265,4163.677645973681,-0.004887462990798749,-0.013154428643914955,-0.0071108847588513685,ETH
2025-09-24 13:10:40.481534+00:00,984.0,4173.001558756191,50.9,68415.0,24016519.0,31178070885.9,503696716744.7,0.0,207.0,4138.3340620926265,4157.243147908198,4175.69739843037,-0.008307568587129324,-0.003776277249388372,0.0006460193307435096,ETH
2025-09-24 14:11:03.128688+00:00,2214.0,4138.3340620926265,50.9,64692.0,22403551.0,32056565349.64,499512221723.23,0.0,984.0,4157.243147908198,4163.677645973681,4169.715014925038,0.004569250701334073,0.006124102960465012,0.007582991697036525,ETH
2025-09-24 15:11:25.545573+00:00,204.0,4157.243147908198,43.6,66288.0,23160584.0,34330610106.67,501794618292.67,2015.0,2214.0,4163.677645973681,4175.69739843037,4177.824299236135,0.0015477800639880517,0.004439059700286751,0.004950672981033753,ETH
2025-09-24 16:11:48.096411+00:00,419.0,4163.677645973681,57.0,66754.0,22751396.0,34805689882.04,502571285999.08,0.0,204.0,4175.69739843037,4169.715014925038,4184.067238521705,0.002886811487030582,0.0014500087337921954,0.004897015158640031,ETH
2025-09-24 17:12:13.053916+00:00,427.0,4175.69739843037,57.5,66530.0,22071164.0,35506723120.66,504022114560.55,0.0,419.0,4169.715014925038,4177.824299236135,4175.067333597947,-0.0014326669139341527,0.0005093522357639713,-0.00015088852766486334,ETH
2025-09-24 18:12:35.638953+00:00,808.0,4169.715014925038,36.9,66252.0,21743928.0,34340481905.258602,503300018753.13,0.0,427.0,4177.824299236135,4184.067238521705,4182.614951534714,0.0019448054080602923,0.0034420154723510785,0.003093721408657911,ETH
2025-09-24 19:12:57.981213+00:00,699.0,4177.824299236135,48.6,65607.0,21292974.0,33940096029.363243,504278839351.47,109.0,808.0,4184.067238521705,4175.067333597947,4182.376325088648,0.001494303933918815,-0.0006599046395253014,0.0010895685233448618,ETH
2025-09-24 20:13:20.216087+00:00,431.0,4184.067238521705,33.1,65330.0,20865860.0,33576697303.242264,505032385204.91,431.5,699.0,4175.067333597947,4182.614951534714,,-0.002150994334148761,-0.000347099342386231,,ETH
2025-09-24 21:13:42.365989+00:00,613.0,4175.067333597947,46.3,65104.0,20603554.0,33249323509.11092,503946063405.77,0.0,431.0,4182.614951534714,4182.376325088648,,0.001807783523879763,0.0017506284106804562,,ETH
2025-09-24 22:14:04.478129+00:00,227.0,4182.614951534714,46.7,64883.0,20688941.0,34434323040.68415,504857088796.12,391.0,613.0,4182.376325088648,,,-5.70519755778524e-05,,,ETH
2025-09-24 23:14:26.685456+00:00,748.0,4182.376325088648,34.0,65312.0,21229473.0,33733830993.287163,504828285701.82,0.0,227.0,,,,,,,ETH
2025-09-23 10:00:20.163097+00:00,36.0,1.000865582645593,60.9,6222.0,14271353.0,192439049192.78,172166869637.13,0.0,,1.0009236049223265,1.000712859323234,1.0007581214205294,5.797209709228867e-05,-0.00015259124202808062,-0.00010736828893596429,USDT
2025-09-23 11:00:43.154892+00:00,63.0,1.0009236049223265,61.6,6189.0,14113273.0,191554702017.31,172176850511.61,0.0,36.0,1.000712859323234,1.0008627044905976,1.0007846900737394,-0.0002105511330296424,-6.08442356933237e-05,-0.00013878666454055654,USDT
2025-09-23 12:01:06.509976+00:00,56.0,1.000712859323234,62.2,6183.0,13978166.0,183282825870.17,172140598480.66,7.0,63.0,1.0008627044905976,1.0007581214205294,1.0006368822348963,0.0001497384249313461,4.522985477183273e-05,-7.592296594349944e-05,USDT
2025-09-23 13:01:29.588835+00:00,51.0,1.0008627044905976,66.4,6152.0,13606267.0,177821929166.26,172166374542.74,15.5,56.0,1.0007581214205294,1.0007846900737394,1.000523792373769,-0.00010449292355372394,-7.79471714833062e-05,-0.00033861998784434096,USDT
2025-09-23 14:01:52.989822+00:00,42.0,1.0007581214205294,66.4,6331.0,13499519.0,177321248423.49,172878084840.28,30.5,51.0,1.0007846900737394,1.0006368822348963,1.0006053878082544,2.654852620353679e-05,-0.00012114734123868196,-0.00015261790936883104,USDT
2025-09-23 15:02:16.162829+00:00,61.0,1.0007846900737394,66.4,6222.0,13283618.0,178421104095.64,172882674498.65,0.0,42.0,1.0006368822348963,1.000523792373769,1.0006614963227933,-0.00014769194643870866,-0.000260693136653662,-0.00012309715782819568,USDT
2025-09-23 16:02:39.408664+00:00,57.0,1.0006368822348963,66.4,6295.0,12999972.0,178954638745.08,172857141119.95,9.0,61.0,1.000523792373769,1.0006053878082544,1.0006735772905284,-0.00011301788204593508,-3.147438116774469e-05,3.6671700077782544e-05,USDT
2025-09-23 17:03:01.954559+00:00,403.0,1.000523792373769,66.4,6288.0,12780823.0,158515101499.08,172837605171.96,0.0,57.0,1.0006053878082544,1.0006614963227933,1.000713734305112,8.15527177936305e-05,0.0001376318585063638,0.00018984249329271445,USDT
2025-09-23 18:03:24.302506+00:00,400.0,1.0006053878082544,41.1,6207.0,12613602.0,151944766284.75,172851700548.4,3.0,403.0,1.0006614963227933,1.0006735772905284,1.0005369999452711,5.607456767933994e-05,6.814822616877357e-05,-6.834648685336547e-05,USDT
2025-09-23 19:03:46.491408+00:00,574.0,1.0006614963227933,54.0,6330.0,12440087.0,147835303156.48,172861393132.78,0.0,400.0,1.0006735772905284,1.000713734305112,1.0005398581355782,1.2072981502215292e-05,5.220344992851654e-05,-0.000121557777192492,USDT
2025-09-23 20:04:08.543883+00:00,573.0,1.0006735772905284,54.0,6340.0,12264941.0,145564680640.09,172863480085.18,1.0,574.0,1.000713734305112,1.0005369999452711,1.000656078551732,4.012998393774748e-05,-0.00013648541178342807,-1.7486959977296526e-05,USDT
2025-09-23 21:04:30.346780+00:00,863.0,1.000713734305112,37.3,6260.0,12024040.0,140744274675.77,172870417093.86,0.0,573.0,1.0005369999452711,1.0005398581355782,1.0008296669009549,-0.0001766083084325949,-0.0001737521566589984,0.00011584990978800048,USDT
2025-09-23 22:04:52.221195+00:00,434.0,1.0005369999452711,58.7,6254.0,11964137.0,139058021360.91553,172839886741.92,429.0,863.0,1.0005398581355782,1.000656078551732,1.0006050342673913,2.856656282830347e-06,0.0001190146955758655,6.799780730141457e-05,USDT
2025-09-23 23:05:14.253378+00:00,433.0,1.0005398581355782,37.3,6184.0,11699074.0,137836659912.63,172840380486.07,644.5,434.0,1.000656078551732,1.0008296669009549,1.0003446418049275,0.00011615770747039031,0.0002896523941751683,-0.00019511099839084948,USDT
2025-09-24 00:05:36.296214+00:00,451.0,1.000656078551732,51.2,6084.0,11765236.0,135602716279.41,172860457228.43,0.0,433.0,1.0008296669009549,1.0006050342673913,1.000491644600238,0.00017347453630033684,-5.101081723756633e-05,-0.00016432614063754185,USDT
2025-09-24 01:05:58.767496+00:00,549.0,1.0008296669009549,51.2,5959.0,11836144.0,133329181838.55,172890444116.09,0.0,451.0,1.0006050342673913,1.0003446418049275,1.0001234698114967,-0.0002244464177996511,-0.0004846230203479016,-0.0007056116668133,USDT
