strategy,symbol,entry_time,entry_price,tp_price,sl_price,outcome,hit_time,hit_price,realized_pnl_usd,final_price,final_unrealized_pnl_usd
TP 2% / SL 1%,SUSDS,2025-09-23 10:00:20.163097+00:00,1.068,1.08936,1.05732,no_hit,,,0.05617977528089893,1.074,0.05617977528089893
TP 2% / SL 1%,T99,2025-09-23 10:00:20.163097+00:00,0.16970172501119615,0.1730957595114201,0.1680047077610842,no_hit,,,-0.009154026610780306,0.16954637960053137,-0.009154026610780306
TP 2% / SL 1%,TAO,2025-09-23 10:00:20.163097+00:00,316.73600504439395,323.0707251452818,313.56864499395,sl,2025-09-24 04:07:09.245829+00:00,312.7189589009547,-0.1,309.59193164498737,0.0
TP 2% / SL 1%,UNI,2025-09-23 10:00:20.163097+00:00,8.204094226053533,8.368176110574604,8.122053283792997,sl,2025-09-23 15:02:16.162829+00:00,8.103231856094887,-0.1,8.064208393283232,0.0
TP 2% / SL 1%,USDTB,2025-09-23 10:00:20.163097+00:00,0.999941,1.01993982,0.9899415899999999,no_hit,,,0.0005900348120542237,1.0,0.0005900348120542237
TP 2% / SL 1%,UZX,2025-09-23 10:00:20.163097+00:00,2.7359540744516213,2.7906731559406537,2.708594533707105,no_hit,,,-0.0809910351431058,2.713795299192238,-0.0809910351431058
TP 2% / SL 1%,WBETH,2025-09-23 10:00:20.163097+00:00,4523.004729349225,4613.4648239362095,4477.774682055733,no_hit,,,-0.07411915725970797,4489.4805994671215,-0.07411915725970797
TP 2% / SL 1%,WEETH,2025-09-23 10:00:20.163097+00:00,4503.268573111907,4593.333944574146,4458.235887380788,no_hit,,,-0.04935887041128545,4481.040948119163,-0.04935887041128545
TP 2% / SL 1%,WLFI,2025-09-23 10:00:20.163097+00:00,0.21288,0.21713760000000001,0.2107512,sl,2025-09-23 13:01:29.588835+00:00,0.207337,-0.1,0.195567613873244,0.0
TP 2% / SL 1%,ZETRIX,2025-09-23 10:00:20.163097+00:00,14.384535506349525,14.672226216476517,14.24069015128603,sl,2025-09-23 15:02:16.162829+00:00,14.23629727540318,-0.1,14.0496032339837,0.0
TP 4% / SL 2%,ALGO,2025-09-23 10:00:20.163097+00:00,0.21305624905858864,0.22157849902093218,0.20879512407741685,no_hit,,,0.01993975833458364,0.21348107807037875,0.01993975833458364
TP 4% / SL 2%,APT,2025-09-23 10:00:20.163097+00:00,4.262954311006833,4.433472483447106,4.177695224786697,no_hit,,,0.02913050510847547,4.2753725122402315,0.02913050510847547
TP 4% / SL 2%,ARB,2025-09-23 10:00:20.163097+00:00,0.4360607052784293,0.45350313348956645,0.4273394911728607,sl,2025-09-23 13:01:29.588835+00:00,0.4270013081615826,-0.2,0.43321264404050086,0.0
TP 4% / SL 2%,BGB,2025-09-23 10:00:20.163097+00:00,5.144799814025732,5.3505918065867615,5.041903817745217,no_hit,,,0.19280065431127896,5.243991891070203,0.19280065431127896
TP 4% / SL 2%,CBBTC,2025-09-23 10:00:20.163097+00:00,112760.1910500108,117270.59869201125,110504.98722901058,no_hit,,,-0.08245827269027453,111830.38999178988,-0.08245827269027453
TP 4% / SL 2%,CNX,2025-09-23 10:00:20.163097+00:00,57.63531723012122,59.94072991932607,56.48261088551879,no_hit,,,-0.07731903712725466,57.18968650684553,-0.07731903712725466
TP 4% / SL 2%,DOGE,2025-09-23 10:00:20.163097+00:00,0.24011896802991672,0.2497237267511134,0.23531658866931837,no_hit,,,-0.056854125964406435,0.2387537926244351,-0.056854125964406435
TP 4% / SL 2%,ETC,2025-09-23 10:00:20.163097+00:00,18.62549207712627,19.370511760211322,18.252982235583744,no_hit,,,0.13609949390848597,18.87898408167561,0.13609949390848597
TP 4% / SL 2%,FLR,2025-09-23 10:00:20.163097+00:00,0.02369964,0.0246476256,0.0232256472,no_hit,,,-0.07691256069712449,0.02351736,-0.07691256069712449
TP 4% / SL 2%,HBAR,2025-09-23 10:00:20.163097+00:00,0.22158655842908648,0.23045002076624996,0.21715482726050475,no_hit,,,-0.07309963304635933,0.2199667688181693,-0.07309963304635933
TP 4% / SL 2%,ICP,2025-09-23 10:00:20.163097+00:00,4.3269519130929055,4.500029989616622,4.240412874831048,no_hit,,,-0.0028685943934585027,4.325710686093039,-0.0028685943934585027
TP 4% / SL 2%,INSURANCE,2025-09-23 10:00:20.163097+00:00,115.12340928096523,119.72834565220384,112.82094109534593,no_hit,,,0.06044015523595499,115.81921695378863,0.06044015523595499
TP 4% / SL 2%,L1X,2025-09-23 10:00:20.163097+00:00,17.268180245387512,17.958907455203015,16.922816640479763,no_hit,,,-0.02559511408564648,17.223982141044292,-0.02559511408564648
TP 4% / SL 2%,LEO,2025-09-23 10:00:20.163097+00:00,9.484196231309511,9.863564080561892,9.29451230668332,no_hit,,,0.013071901480934392,9.496593879185664,0.013071901480934392
TP 4% / SL 2%,LINK,2025-09-23 10:00:20.163097+00:00,21.53569303431039,22.397120755682806,21.104979173624184,no_hit,,,0.05708337286903276,21.65862603385745,0.05708337286903276
TP 4% / SL 2%,LSETH,2025-09-23 10:00:20.163097+00:00,4530.787884457101,4712.019399835385,4440.1721267679595,no_hit,,,-0.060170417355828495,4503.52594466125,-0.060170417355828495
TP 4% / SL 2%,MRS,2025-09-24 01:05:58.767496+00:00,19.818487540499998,20.61122704212,19.42211778969,tp,2025-09-24 03:06:44.293854+00:00,24.926195528309098,0.4,23.609454963738116,0.0
TP 4% / SL 2%,MYX,2025-09-23 10:00:20.163097+00:00,9.226760513332975,9.595830933866294,9.042225303066315,tp,2025-09-23 12:01:06.509976+00:00,9.672584698515449,0.4,8.70456058878385,0.0
TP 4% / SL 2%,NEAR,2025-09-23 10:00:20.163097+00:00,2.9659542541372454,3.0845924243027354,2.9066351690545007,sl,2025-09-23 13:01:29.588835+00:00,2.902731683418561,-0.2,2.9687903715334056,0.0
