symbol,num_snapshots,num_drops,avg_alt_diff_on_drop,avg_price_change_after_drop,corr_alt_price,corr_alt_social_vol
BTC,11,5,75.2,0.09893060370885953,-0.7568916135954206,-0.6472057127508205
ETH,11,2,345.0,-0.23133576411974183,0.02008452792867268,-0.44230046050164656
USDT,11,4,141.5,-0.006615434504312632,-0.6376962477597254,0.5510446112805599
XRP,11,5,57.6,-0.21281356093711612,-0.7495403783563831,-0.32430264999891883
BNB,11,5,144.8,0.003373696757911171,0.7433571391908312,0.7813586482882013
SOL,11,6,85.66666666666667,-0.2819096680548886,-0.3928492125826092,-0.250003381216044
USDC,11,4,199.5,0.013912042647185664,-0.4789133287598629,0.5607999797237309
DOGE,11,4,35.75,-0.2426998606190108,-0.3927789930993286,-0.8086564099099289
STETH,11,6,409.6666666666667,-0.1927873236256395,-0.34150798595710574,0.46091673803239896
TRX,11,5,63.6,0.06615582052129161,-0.07532802489505185,0.06968409592819257
ADA,11,5,55.8,0.08825105957377917,-0.3909685484877177,-0.6288326393505173
WSTETH,11,5,701.2,0.07072213305001836,-0.7230782451241179,-0.7176546549288751
HYPE,11,4,220.25,0.29102627981619333,-0.24435616135669616,-0.06824722009101863
WBETH,11,6,1124.6666666666667,-0.1930362682524682,-0.18283947205705,0.20109289261697802
AVAX,11,0,,,-0.6136909570073891,-0.504007426797521
LINK,11,4,260.0,-0.09575444258010764,-0.4816045380817624,-0.1835401900304374
WBTC,11,6,63.333333333333336,0.037400394746584756,-0.6803138719005951,0.3189299347273504
USDE,11,5,78.8,-9.426694498905208e-05,-0.6524523131399781,0.8238528143149438
WETH,11,4,768.5,0.1852993155126063,-0.6641549630621032,-0.1825719934234739
SUI,11,3,85.33333333333333,0.1941368740694485,-0.6731859103964417,-0.7621804900090505
XLM,11,3,62.333333333333336,0.22577815992569306,-0.8565559047790694,0.23417765587095915
BCH,11,6,365.6666666666667,-0.07539697635851009,-0.2648740443595564,0.23879528598483757
WEETH,11,6,960.6666666666666,0.07129931609325724,-0.5708535297794827,0.3932577692636536
HBAR,11,4,292.5,-0.16262949617332967,-0.4665208564455323,-0.6935227362952748
LEO,11,6,658.3333333333334,0.009490314502989549,0.2233472462929613,-0.580522737575595
LTC,11,2,559.5,0.1173081308750515,-0.030491711485944265,-0.08615752173298882
CRO,11,3,76.0,1.1103738425280612,-0.6733075946035832,-0.7597691043449314
SHIB,11,5,426.0,-0.2018980541885298,-0.4388906567249314,-0.39668335929898907
TON,11,6,158.5,-0.049766881223657286,-0.5682111743932972,-0.2448750709538714
DOT,11,5,243.8,-0.06304615411368988,-0.377207368617076,0.5569689781074224
CBBTC,11,5,602.4,0.11163698614822976,-0.1508564407179133,0.10935788512298633
SUSDE,11,7,220.14285714285714,-0.0032722720980653745,-0.8659458564418543,0.4066935459946833
CNX,11,7,169.0,0.016156503668723416,-0.6525013463226595,-0.49689811617281987
MNT,11,0,,,0.4053864786363903,0.6626694871795041
WLFI,11,4,185.25,0.31993786226701276,0.14413290493334624,-0.5187144000759042
XMR,11,5,148.2,-0.005473520638732549,-0.07169959706209882,0.11980307180178779
DAI,11,6,138.66666666666666,0.003916873280859931,-0.4450587915400082,0.6195985474767405
UNI,11,2,407.5,-0.1350570860081391,0.04712199597911504,-0.05241149803241917
ZETRIX,11,5,987.2,-0.1528670594708836,-0.2675373272208107,
IP,11,4,473.25,-0.9053276516549211,-0.8524306301548709,0.2367594553452925
ENA,11,4,205.0,0.38451947265139375,-0.8861645125891982,-0.4633327006576278
L1X,11,5,1236.2,0.0021133945943315486,0.5926830530449151,0.6167435265348871
AAVE,11,4,105.25,-0.09179575924901673,-0.6805629842362626,-0.6152666123471273
PEPE,11,4,74.25,0.35149506490642224,-0.3346793357961097,-0.5984441329278487
ZBU,11,5,549.8,-0.09498372177904255,-0.5002582926782356,-0.3965688656638291
NEAR,11,3,539.0,-0.7751403404939996,-0.5535341705626207,-0.5835057028543346
OKB,11,4,306.75,0.07480166576165369,-0.5667341256996605,0.5054192618310934
BGB,11,4,522.75,0.409543717289048,-0.6759581411954749,0.37268818457989256
PLSX,11,5,122.2,-0.24944311029069466,-0.05665561036850589,0.27355110983721065
RYO,11,5,892.2,0.09839450012665854,-0.24715562661606758,0.26505453570894966
