threshold,hold_hours,min_volume,trades,avg_ret,win_rate,sharpe,cum_return
10,1,100000.0,1336,-0.0011401966713524313,0.35254491017964074,-12.936976246436549,-0.7920134109961143
10,1,1000000.0,1195,-0.0011587874444787462,0.3631799163179916,-12.614326485496608,-0.7607790327964213
10,1,10000000.0,1097,-0.001051120515780823,0.3664539653600729,-12.145357028229153,-0.6957557023157009
10,2,100000.0,1288,-0.0012038931282868264,0.3889751552795031,-6.450733867963249,-0.8078775586505806
10,2,1000000.0,1152,-0.0011988902302713551,0.3993055555555556,-6.186384996562901,-0.7715571076831703
10,2,10000000.0,1058,-0.001123135249466709,0.39792060491493386,-6.111669892146639,-0.7181890247210162
10,4,100000.0,1227,-0.0009091304791882905,0.4099429502852486,-2.633700509865388,-0.7201890994399036
10,4,1000000.0,1097,-0.0008591625395784391,0.41750227894257064,-2.39073570800221,-0.6656385977077348
10,4,10000000.0,1009,-0.0007408115653923024,0.41625371655104065,-2.087756854018557,-0.5868007360581199
20,1,100000.0,1293,-0.0010640538970334778,0.354215003866976,-12.434375137722256,-0.7579386036107749
20,1,1000000.0,1154,-0.0010689928448925719,0.36568457538994803,-11.986515047655823,-0.7205706753975807
20,1,10000000.0,1056,-0.0009488124551756525,0.3693181818181818,-11.405547824412167,-0.6446181971009557
20,2,100000.0,1247,-0.0013755305921927038,0.3897353648757017,-7.906861242217927,-0.8346747707448574
20,2,1000000.0,1113,-0.001383736200958137,0.40071877807726863,-7.677387722808846,-0.8023010405317411
20,2,10000000.0,1019,-0.0013221334056227516,0.3994111874386654,-7.8881712147808285,-0.7561152548264867
20,4,100000.0,1186,-0.0012177707606486317,0.40893760539629004,-4.014385800423779,-0.7911846162587984
20,4,1000000.0,1058,-0.0011954928454209006,0.4168241965973535,-3.80115389748802,-0.748869006833722
20,4,10000000.0,970,-0.0011028958701222661,0.4154639175257732,-3.6196765800432074,-0.6896557413089295
30,1,100000.0,1257,-0.0010963866292061945,0.3532219570405728,-12.755385225764028,-0.7583183076698221
30,1,1000000.0,1119,-0.0011082998533177935,0.3646112600536193,-12.35940051781968,-0.7221901010943844
30,1,10000000.0,1022,-0.0009867772199333262,0.36888454011741684,-11.815063577487905,-0.6466674063715387
30,2,100000.0,1211,-0.0014826980771094711,0.38893476465730803,-8.5843455229561,-0.8469216120928114
30,2,1000000.0,1078,-0.0015077535917436666,0.39981447124304265,-8.422621856982213,-0.8178611732276054
30,2,10000000.0,985,-0.0014529372475208062,0.39898477157360407,-8.772232363428808,-0.7750025059015058
30,4,100000.0,1151,-0.0013724003761078087,0.40573414422241527,-4.521502282467398,-0.8170476926455656
30,4,1000000.0,1024,-0.0013741409782625372,0.4130859375,-4.363120914771613,-0.7814984078468001
30,4,10000000.0,937,-0.0012934305573358855,0.4119530416221985,-4.24506895844526,-0.7299372639753311
50,1,100000.0,1192,-0.0010807652776556498,0.3573825503355705,-12.343354267140763,-0.7354001378358762
50,1,1000000.0,1058,-0.001091611371019604,0.3695652173913043,-11.935022341696406,-0.697251087421356
50,1,10000000.0,963,-0.0009614803646095045,0.37383177570093457,-11.292773298836147,-0.6159807718304386
50,2,100000.0,1149,-0.0013986296501843967,0.3907745865970409,-8.002360449317234,-0.8147002864816363
50,2,1000000.0,1020,-0.0014235731649216703,0.40098039215686276,-7.851344587698413,-0.7828619899013682
50,2,10000000.0,929,-0.0013575989128379801,0.3993541442411195,-8.113942256857817,-0.7326737269411135
50,4,100000.0,1092,-0.0013017669312073243,0.4084249084249084,-4.224992318535544,-0.7851151796712448
50,4,1000000.0,969,-0.0013094100971927467,0.4148606811145511,-4.0912605241416955,-0.7484154465263124
50,4,10000000.0,884,-0.001225426006770139,0.41289592760180993,-3.959333757074762,-0.6920360590553882
75,1,100000.0,1136,-0.0011098828998094337,0.35827464788732394,-12.647574695521039,-0.727575905181033
75,1,1000000.0,1005,-0.0011294532215957015,0.3701492537313433,-12.309030533215903,-0.6906691174500956
75,1,10000000.0,913,-0.000999330661977526,0.37349397590361444,-11.759335962713733,-0.6101022003000538
75,2,100000.0,1094,-0.0014535600889513276,0.3903107861060329,-8.201261448995622,-0.8112570972663198
75,2,1000000.0,967,-0.0014932409207390617,0.40020682523267836,-8.107467243480961,-0.7807584149012007
75,2,10000000.0,879,-0.0014354217330243425,0.3970420932878271,-8.463030102663422,-0.7324040024097427
75,4,100000.0,1044,-0.0014361799604345612,0.407088122605364,-4.663605803766934,-0.8002445270721874
75,4,1000000.0,923,-0.0014620474894327948,0.41386782231852653,-4.566824400731787,-0.7667861106996035
75,4,10000000.0,840,-0.001384760578182364,0.4119047619047619,-4.486052672550803,-0.7143157304006922
