symbol,snapshot_time,altrank_improve_1h,fut_ret_1h,fut_ret_2h,fut_ret_4h,volume_24h,gross_ret,net_ret
BTC,2025-09-23 14:01:52.989822+00:00,198.0,-0.0027977747579397377,0.0038198697626589616,0.005539389049158803,66043394961.01,0.005539389049158803,0.004739389049158803
BTC,2025-09-23 16:02:39.408664+00:00,92.0,0.0008220719592334719,0.0017129759414967558,0.001997466791803818,67213179821.8,0.001997466791803818,0.0011974667918038182
BTC,2025-09-23 17:03:01.954559+00:00,243.5,0.0008901721966615193,0.0014675650904885196,0.00031549077747287745,59290361307.12,0.00031549077747287745,-0.0004845092225271226
BTC,2025-09-23 19:03:46.491408+00:00,154.0,-0.00029270615802968737,-0.0011503860466130478,-0.0015030824169962164,55523994402.72,-0.0015030824169962164,-0.0023030824169962163
BTC,2025-09-23 23:05:14.253378+00:00,256.0,0.000997539867719608,-0.0021639580902829236,-0.0027281899160589208,52097588444.7,-0.0027281899160589208,-0.0035281899160589207
BTC,2025-09-24 04:07:09.245829+00:00,112.0,-0.002881878941684806,-0.004894789805545177,-0.001047726923810199,47305025458.18,-0.001047726923810199,-0.001847726923810199
BTC,2025-09-24 06:07:54.984407+00:00,119.0,0.00024097643787123082,0.003865986070943411,0.003548370198445966,48647170966.82,0.003548370198445966,0.0027483701984459662
BTC,2025-09-24 07:08:20.971421+00:00,562.5,0.003624136301615857,0.0037284137885592807,0.004638744068251812,47245811230.23,0.004638744068251812,0.0038387440682518125
BTC,2025-09-24 08:08:43.825382+00:00,1051.0,0.00010390093579025454,-0.0003163927027157971,0.0032777481421533035,47114700648.77,0.0032777481421533035,0.0024777481421533036
BTC,2025-09-24 12:10:17.231639+00:00,532.0,-0.0024679648207762118,-0.005642889247546375,-3.159480085705245e-05,47223486541.57,-3.159480085705245e-05,-0.0008315948008570525
BTC,2025-09-24 14:11:03.128688+00:00,208.0,0.003997735788481392,0.005643138049712464,0.005591314487949934,47501898320.94,0.005591314487949934,0.004791314487949934
BTC,2025-09-24 15:11:25.545573+00:00,835.5,0.0016388505696567823,0.002609547191617291,0.002054460696673972,49759078992.52,0.002054460696673972,0.0012544606966739722
ETH,2025-09-23 11:00:43.154892+00:00,167.0,-0.002474536212833441,-0.009530036802764338,-0.008966608733784007,57844345244.43,-0.008966608733784007,-0.009766608733784007
ETH,2025-09-23 12:01:06.509976+00:00,339.5,-0.007073002991968002,-0.0011003251010207773,-0.0005779208895925506,53559278742.19,-0.0005779208895925506,-0.0013779208895925506
ETH,2025-09-23 13:01:29.588835+00:00,570.5,0.006015223585363859,0.0005688492230108486,0.009978025480333075,50740865403.54,0.009978025480333075,0.009178025480333075
ETH,2025-09-23 15:02:16.162829+00:00,164.0,0.005969104340641126,0.009403826897698142,0.010222233444932128,49625407639.6,0.010222233444932128,0.009422233444932128
ETH,2025-09-23 16:02:39.408664+00:00,292.5,0.0034143419934435193,0.003438092464450642,0.002869748160987178,49697378686.18,0.002869748160987178,0.002069748160987178
ETH,2025-09-23 17:03:01.954559+00:00,468.5,2.3669654711072144e-05,0.0008107820927817132,-0.0027517448998534083,42729308491.42,-0.0027517448998534083,-0.0035517448998534083
ETH,2025-09-23 19:03:46.491408+00:00,455.0,-0.0013524262997464548,-0.003559640899537043,-0.0037296841336080786,39540369104.82,-0.0037296841336080786,-0.0045296841336080786
ETH,2025-09-23 20:04:08.543883+00:00,683.5,-0.0022102037374529177,-0.0025180007935117813,0.0012734236307407813,38305854760.19,0.0012734236307407813,0.00047342363074078127
ETH,2025-09-23 23:05:14.253378+00:00,255.0,0.003662619667454619,-0.0047645648804103885,-0.004421895587355879,35939660490.17,-0.004421895587355879,-0.005221895587355879
ETH,2025-09-24 04:07:09.245829+00:00,547.0,0.0013036165270818086,0.00023953246772049255,0.005202178296669024,32824748549.47,0.005202178296669024,0.004402178296669024
ETH,2025-09-24 06:07:54.984407+00:00,525.0,-0.0020140438661763248,0.004961457398814304,0.0034624610128091682,33640954756.28,0.0034624610128091682,0.0026624610128091683
ETH,2025-09-24 08:08:43.825382+00:00,642.0,0.0003458716155973822,-0.0014915958965083633,0.0024855080615055125,32496174488.52,0.0024855080615055125,0.0016855080615055125
ETH,2025-09-24 10:09:29.751633+00:00,61.0,0.000480400160157497,0.003983045051668552,-0.009223778274164075,32468047247.388622,-0.009223778274164075,-0.010023778274164076
ETH,2025-09-24 12:10:17.231639+00:00,663.0,-0.004887462990798749,-0.013154428643914955,-0.0071108847588513685,32183127172.27,-0.0071108847588513685,-0.007910884758851369
ETH,2025-09-24 15:11:25.545573+00:00,2015.0,0.0015477800639880517,0.004439059700286751,0.004950672981033753,34330610106.67,0.004950672981033753,0.004150672981033753
USDT,2025-09-23 13:01:29.588835+00:00,15.5,-0.00010449292355372394,-7.79471714833062e-05,-0.00033861998784434096,177821929166.26,-0.00033861998784434096,-0.001138619987844341
USDT,2025-09-23 14:01:52.989822+00:00,30.5,2.654852620353679e-05,-0.00012114734123868196,-0.00015261790936883104,177321248423.49,-0.00015261790936883104,-0.0009526179093688311
USDT,2025-09-23 22:04:52.221195+00:00,429.0,2.856656282830347e-06,0.0001190146955758655,6.799780730141457e-05,139058021360.91553,6.799780730141457e-05,-0.0007320021926985854
USDT,2025-09-23 23:05:14.253378+00:00,644.5,0.00011615770747039031,0.0002896523941751683,-0.00019511099839084948,137836659912.63,-0.00019511099839084948,-0.0009951109983908496
